id;hotel_name;hotel_city;hotel_price;hotel_type;hotel_rating;total_review;link
3000010000393;Hotel Dafam Fortuna Seturan;Yogyakarta;Rp 1.143.880;Hotels;08.05;7636;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000393-beabd4c40a103b63c07472744b00c661.jpeg?tr=q-40
3000010000158;Greenhost Boutique Hotel;Yogyakarta;Rp 675.000;Hotels;08.07;7025;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000158-58023b2aac9a00a2ad2b7186acaedab5.jpeg?tr=q-40
1000000463618;Crystal Lotus Hotel;Yogyakarta;Rp 835.963;Hotels;08.04;9294;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000369-1d4912bd62ea5cacb759edad9c436027.jpeg?tr=q-40
3000010000269;Indoluxe Hotel Jogjakarta;Yogyakarta;Rp 850.000;Hotels;08.07;6124;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000269-16cdca5ab6ffc17caf02c875dab21f56.jpeg?tr=q-40
3000010008560;Yellow Star Gejayan Hotel;Yogyakarta;Rp 938.000;Hotels;08.05;9218;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10008560-3582x3817-FIT_AND_TRIM-5d46218d78ab8ddfa18a31e626006954.jpeg?tr=q-40
3000010014944;GAIA Cosmo Hotel;Yogyakarta;Rp 820.000;Hotels;08.09;3496;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10014944-2048x1154-FIT_AND_TRIM-22af7e25f66dbfc51d578060561741d6.jpeg?tr=q-40
3000020005012;Artotel Yogyakarta;Yogyakarta;Rp 859.320;Hotels;08.08;3536;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20005012-307cd2ea134c773120ac15fd48a80809.jpeg?tr=q-40
443756;Grand Tjokro Yogyakarta;Yogyakarta;Rp 802.620;Hotels;08.04;5370;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000714-9b3b4a3803367d293a9924ac2fab432e.jpeg?tr=q-40
478906;Grand Zuri Malioboro Yogyakarta;Yogyakarta;Rp 1.605.250;Hotels;08.06;5408;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001277-b2eec5c2ccfb5a9fc5da336951a6e13a.jpeg?tr=q-40
3000010023638;The Westlake Hotel Resort Yogyakarta;Yogyakarta;Rp 1.112.500;Hotels;08.09;4897;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10023638-1024x682-FIT_AND_TRIM-adb31d9ad85d3a8aa07f9c1482fda03d.jpeg?tr=q-40
3000010007197;Harper Malioboro Yogyakarta by ASTON;Yogyakarta;Rp 1.950.400;Hotels;08.08;4664;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007197-0579877926cde0e74d71e21dc28ba3a7.jpeg?tr=q-40
3000020018300;Arte Hotel Malioboro Yogyakarta;Yogyakarta;Rp 760.000;Hotels;08.04;2637;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20018300-d4e72a8c4e3c43cfa7bba290c46717cc.jpeg?tr=q-40
9000000687487;PORTA by The Ambarrukmo;Yogyakarta;Rp 950.000;Hotels;08.09;874;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20034276-fd45f19176c908358b37ff84f204a59f.png?tr=q-40
3000010014429;Lafayette Boutique Hotel;Yogyakarta;Rp 2.469.050;Hotels;08.08;4784;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10014429-844b41af86deb390cf02b32c8a5c69f2.jpeg?tr=q-40
239433;Whiz Hotel Malioboro Yogyakarta;Yogyakarta;Rp 1.125.000;Hotels;08.02;9239;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000397-1472x983-FIT_AND_TRIM-e17d285ca36aee6b3f569811aef278a9.jpeg?tr=q-40
9000000973889;KIMAYA Sudirman Yogyakarta By HARRIS;Yogyakarta;Rp 750.000;Hotels;08.06;241;https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67820789-13a0a158f5f07e43fe68f9723811019d.jpeg?tr=q-40
